Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-24 08:30:00.0,225.163132,37.62493,40.831982,0.037253,83.988804,37.709432,7.590928,5.642047,55.626137,26.960162,26.601978,75.964851,95.349943
2015-11-24 08:45:00.0,174.884316,55.135485,110.495126,0.116219,56.494319,35.63391,38.720588,20.212348,172.668969,87.912364,41.460918,38.689247,46.367266
2015-11-24 09:00:00.0,136.576975,166.657044,49.654236,0.077697,113.405697,32.839742,52.056137,19.283939,113.354375,38.965785,37.105822,128.086686,39.386281
2015-11-24 09:15:00.0,162.345183,77.003092,118.644526,0.024714,83.497439,68.085359,50.35972,32.209726,273.752764,6.491096,32.410435,211.70622,31.416069
2015-11-24 09:30:00.0,277.97921,52.185608,46.894257,0.048958,216.721517,24.887047,40.686101,46.231446,157.545672,29.465009,49.270458,104.396426,103.574488
2015-11-24 09:45:00.0,201.971505,58.63284,109.820118,3.695835,135.655615,36.31519,118.02452,40.425062,68.40944,28.53712,75.162085,116.15271,82.496738
2015-11-24 10:00:00.0,172.907443,41.265223,115.233105,0.116963,193.487135,34.632629,140.819307,11.397672,98.152417,45.153012,48.820278,96.567183,48.034026
2015-11-24 10:15:00.0,105.499414,84.846061,74.529494,0.138661,112.43186,125.374867,36.920368,3.774103,43.719308,69.360037,68.747968,93.234867,41.80132
2015-11-24 10:30:00.0,178.666069,41.658429,42.721039,0.019676,631.350621,109.5992,22.941482,18.049971,41.580913,92.474927,32.175274,179.955814,56.101023
2015-11-24 10:45:00.0,175.885354,49.356125,43.214256,0.043113,215.511685,80.953595,34.92275,6.162422,167.051168,55.015497,35.762038,108.517853,100.591373
2015-11-24 11:00:00.0,156.346243,86.484745,71.158235,0.041083,121.375905,215.150317,19.936646,11.499372,81.738604,29.726582,129.166115,152.513737,131.445578
2015-11-24 11:15:00.0,208.104676,70.870801,92.557877,0.105524,267.805712,120.306552,47.038501,30.270141,61.019959,29.659958,144.493394,193.794216,24.503881
2015-11-24 11:30:00.0,193.737194,117.201913,40.277845,0.026397,142.433304,72.30081,31.251668,22.978885,111.965149,72.636283,191.101577,204.670818,66.13269
2015-11-24 11:45:00.0,188.879092,127.336562,77.902932,0.112849,116.501791,89.909922,39.297469,80.714251,115.739258,44.262132,103.772161,260.941279,83.969937
2015-11-24 12:00:00.0,114.236238,69.235114,50.466464,1.033493,158.475961,83.947758,14.592954,45.791474,122.558823,40.35705,83.969665,156.773637,68.977643
2015-11-24 12:15:00.0,140.488241,136.622155,87.803248,0.056604,77.184214,43.26357,58.526493,11.837544,86.371157,22.354938,46.949858,127.786758,131.127506
2015-11-24 12:30:00.0,132.568878,82.679758,82.147421,0.135946,149.15829,122.743549,14.147926,14.931921,103.93862,16.710403,93.846035,110.778506,53.142438
2015-11-24 12:45:00.0,171.648929,118.849321,108.771855,0.015498,209.479054,59.927706,32.72216,35.421707,129.912905,30.682737,42.168076,105.455139,57.447592
2015-11-24 13:00:00.0,197.911825,80.696422,166.424928,0.05918,225.172488,94.943657,29.340127,39.088731,140.847633,41.023435,237.389319,195.523849,104.807342
2015-11-24 13:15:00.0,141.528818,94.829432,75.33844,0.197902,186.863203,154.639362,33.755883,17.297418,168.468312,47.365987,53.7261,180.488342,34.557762
2015-11-24 13:30:00.0,119.929627,209.041754,173.174754,0.071111,118.856109,128.611141,90.063026,9.455527,150.406936,62.48047,55.397581,217.700628,62.43926
2015-11-24 13:45:00.0,72.650648,88.458852,218.604255,0.274845,280.146196,63.631289,35.832341,49.722041,116.670227,95.789607,60.523527,82.393117,89.301452
2015-11-24 14:00:00.0,102.884695,50.444525,164.540943,0.918854,112.821321,95.394347,16.874166,31.580907,183.323963,76.463643,37.471048,221.766235,19.817833
2015-11-24 14:15:00.0,60.478218,98.962409,87.773367,0.093123,158.083775,155.925012,34.914779,15.909959,260.420356,52.554639,19.376093,155.6137,97.274327
2015-11-24 14:30:00.0,152.74002,85.809186,116.499476,0.173881,155.266776,55.867895,120.457694,16.642722,157.206188,145.870437,50.448496,113.15291,86.052296
2015-11-24 14:45:00.0,110.262495,117.026392,143.685498,0.143099,97.187919,80.165156,36.111194,146.243163,252.851732,91.539901,117.150532,220.368888,76.591109
