time [s],line [1],track/ direction [1],loc. (actual) [km],loc. (target) [km],way (actual) [km],way (target) [km],speed (actual) [km/h],speed (target) [km/h],voltage [V],current [A],track-earth voltage [V],energy input [kWh],energy balance [kWh],usable braking energy [kWh],used braking energy [kWh],recuperated braking energy [kWh],energy braking resistor [kWh],state [1],tractive effort (actual) [kN],tractive effort (target) [kN],line and running resistance [kN],acceleration (actual) [m/(s*s)],acceleration (target) [m/(s*s)],desired speed [km/h],train configuration [1],utilization rate [%]
3934,2,2,9.3400002,9.3400002,0,0,0.2,0.2,784.4578247,34.546154,-1.7136502,0.0150556,0.0150556,0,0,0,0,15,0,0,0,0,0,0,2,100
3936,2,2,9.3398886,9.3400002,0.0001111,0,0.2,0.2,784.6746826,35.852005,-2.4142854,0.0306845,0.0306845,0,0,0,0,30,1.1677024,0,1.1677024,0,0,0.2,2,100
3938,2,2,9.3397779,9.3400002,0.0002222,0,0.2,0.2,783.3473511,35.9127731,-2.5095398,0.0463135,0.0463135,0,0,0,0,30,1.1677024,0,1.1677024,0,0,0.2,2,100
3940,2,2,9.3385553,9.3400002,0.0014444,0,4.1999998,4.1999998,777.9973145,96.5140991,-1.7257758,0.0880289,0.0880289,0,0,0,0,20,33.3615913,0,1.1677024,0.5555556,0,4.1999998,2,100
3942,2,2,9.334444,9.3400002,0.0055556,0,10.6000004,10.6000004,772.4889526,231.326889,-0.8050501,0.1873053,0.1873053,0,0,0,0,20,52.7180214,0,1.2077984,0.8888889,0,10.6000004,2,100
3944,2,2,9.3270273,9.3310003,0.0129722,0.009,16.1000004,16.1000004,768.581604,304.9824829,0.4430843,0.3175297,0.3175297,0,0,0,0,20,45.5625114,0,1.2959136,0.7638889,0,16.1000004,2,100
3946,2,2,9.3173056,9.3210001,0.0226944,0.019,18.8999996,18.8999996,771.567688,213.4064636,1.86148,0.4090061,0.4090061,0,0,0,0,20,23.9309216,0,1.3951997,0.3888889,0,18.8999996,2,100
3948,2,2,9.3063889,9.309,0.0336111,0.031,20.3999996,20.3999996,772.5896606,146.394165,1.0852257,0.4718409,0.4718409,0,0,0,0,20,13.5268202,0,1.4541116,0.2083333,0,20.3999996,2,100
3950,2,2,9.2943888,9.2969999,0.0456111,0.043,22.7999992,22.7999992,775.0782471,232.2051544,0.0766429,0.5718282,0.5718282,0,0,0,0,20,21.9418068,0,2.6254735,0.3333333,0,22.7999992,2,100
3952,2,2,9.2808609,9.2849998,0.0591389,0.055,25.8999996,25.8999996,770.9353027,331.8136292,1.0731342,0.7139431,0.7139431,0,0,0,0,20,29.5832844,0,4.6330199,0.4305556,0,25.8999996,2,100
3954,2,2,9.2653055,9.2700005,0.0746944,0.07,30.1000004,30.1000004,768.5672607,495.9415283,1.5077703,0.9257011,0.9257011,0,0,0,0,20,40.467083,0,6.6634989,0.5833333,0,30.1000004,2,100
3956,2,2,9.2486668,9.2530003,0.0913333,0.087,29.7999992,29.7999992,782.1787109,118.0596313,1.1714132,0.9770032,0.9770032,0,0,0,0,50,4.0964465,0,6.5109882,-0.0416667,0,29.7999992,2,100
3958,2,2,9.2321663,9.2360001,0.1078333,0.104,29.6000004,29.6000004,787.2830811,120.0030746,6.5656538,1.0294901,1.0294901,0,0,0,0,50,4.3639235,0,5.973618,-0.0277778,0,29.6000004,2,100
3960,2,2,9.215889,9.2189999,0.1241111,0.121,29,29,784.0288696,82.0902023,1.0347013,1.0652462,1.0652462,0,0,0,0,50,1.1074895,0,5.9365726,-0.0833333,0,29,2,100
3962,2,2,9.1999722,9.2040005,0.1400278,0.136,28.2999992,28.2999992,783.4952393,72.4541321,-1.4157796,1.0967838,1.0967838,0,0,0,0,50,0.2849206,0,5.9188514,-0.0972222,0,28.2999992,2,100
3964,2,2,9.1842499,9.1890001,0.15575,0.151,28.2999992,28.2999992,782.9852295,101.0018845,-1.1897119,1.1407187,1.1407187,0,0,0,0,30,5.8985038,0,5.8985038,0,0,28.2999992,2,100
3966,2,2,9.1695004,9.177,0.1705,0.163,24.7999992,24.7999992,795.5097656,-126.7264175,-2.9750397,1.1407187,1.084712,0.0710625,0.0710623,0.0560067,3E-07,50,-22.2711487,0,5.8985038,-0.4861111,0,24.7999992,2,100
3968,2,2,9.1571112,9.1660004,0.1828889,0.174,19.7999992,19.7999992,829.3537598,-174.3414917,-6.71211,1.1407187,1.0043838,0.1664531,0.166446,0.1363349,7.1E-06,50,-34.4403038,0,5.8020577,-0.6944444,0,19.7999992,2,100
3970,2,2,9.1467781,9.158,0.1932222,0.182,17.3999996,17.3999996,841.1295166,-31.5777702,-6.8061466,1.1407187,0.9896277,0.1962746,0.1962577,0.151091,1.69E-05,50,-13.6367559,0,5.6795774,-0.3333333,0,17.3999996,2,100
3972,2,2,9.1371946,9.1490002,0.2028055,0.191,17.1000004,17.1000004,789.6674805,103.2554703,-1.8860269,1.1860173,1.0349263,0.1962746,0.1962577,0.151091,1.69E-05,50,4.8012934,0,7.2158351,-0.0416667,0,17.1000004,2,100
3974,2,2,9.1277504,9.1400003,0.21225,0.2,16.8999996,16.8999996,787.2791748,131.3684998,-0.8812218,1.243475,1.0923839,0.1962746,0.1962577,0.151091,1.69E-05,50,8.7855072,0,10.3952017,-0.0277778,0,16.8999996,2,100
3976,2,2,9.1182222,9.1309996,0.2217778,0.209,17.3999996,17.3999996,786.1607666,163.876709,-0.862626,1.3150491,1.163958,0.1962746,0.1962577,0.151091,1.69E-05,20,18.0084858,0,13.9842501,0.0694444,0,17.3999996,2,100
3978,2,2,9.1085835,9.1219997,0.2314167,0.218,17.2999992,17.2999992,784.9674683,190.7846832,-1.2135928,1.3982489,1.2471579,0.1962746,0.1962577,0.151091,1.69E-05,50,16.78298,0,17.5878277,-0.0138889,0,17.2999992,2,100
3980,2,2,9.0988331,9.1129999,0.2411667,0.227,17.7999992,17.7999992,785.0797119,198.5934753,-0.0833244,1.4848665,1.3337755,0.1962746,0.1962577,0.151091,1.69E-05,20,22.3435764,0,18.3193398,0.0694444,0,17.7999992,2,100
3982,2,2,9.0887775,9.1029997,0.2512222,0.237,18.3999996,18.3999996,784.1574097,165.0596466,-0.4677299,1.5567735,1.4056826,0.1962746,0.1962577,0.151091,1.69E-05,20,17.2203102,0,12.3912258,0.0833333,0,18.3999996,2,100
3984,2,2,9.0785275,9.0930004,0.2614722,0.247,18.5,18.5,786.0024414,75.0415955,-0.809914,1.5895419,1.4384508,0.1962746,0.1962577,0.151091,1.69E-05,20,5.1946807,0,4.3898335,0.0138889,0,18.5,2,100
3986,2,2,9.0680838,9.0830002,0.2719167,0.257,19.1000004,19.1000004,770.6854858,625.5169067,1.6328403,1.8573623,1.7062713,0.1962746,0.1962577,0.151091,1.69E-05,20,0.8807667,0,-3.9483166,0.0833333,0,19.1000004,2,100
3988,2,2,9.0571108,9.0719995,0.2828889,0.268,20.3999996,20.3999996,784.8764648,58.2562447,-0.1891989,1.8827645,1.7316735,0.1962746,0.1962577,0.151091,1.69E-05,20,2.8428836,0,-7.6201305,0.1805556,0,20.3999996,2,100
3990,2,2,9.045722,9.0609999,0.2942778,0.279,20.6000004,20.6000004,786.881958,4.2643509,-1.308859,1.8846287,1.7335377,0.2094659,0.2094491,0.151091,1.68E-05,20,-5.9559808,0,-7.5656753,0.0277778,0,20.6000004,2,100
3992,2,2,9.0346947,9.0500002,0.3053056,0.29,19.1000004,19.1000004,788.8771973,-67.0124207,-0.6334311,1.8846287,1.7041684,0.2538908,0.2538738,0.1804602,1.69E-05,50,-19.5387001,0,-7.465992,-0.2083333,0,19.1000004,2,100
3994,2,2,9.0246944,9.04,0.3153056,0.3,16.8999996,16.8999996,782.5030518,-108.085289,-1.1593213,1.8846287,1.6571811,0.3159338,0.3159167,0.2274475,1.71E-05,50,-29.4888611,0,-11.7822218,-0.3055556,0,16.8999996,2,100
3996,2,2,9.0160275,9.0319996,0.3239722,0.308,14.3000002,14.3000002,782.1393433,-120.131424,-0.4218156,1.8846287,1.6049814,0.3831893,0.3831719,0.2796472,1.73E-05,50,-36.9455719,0,-16.0195427,-0.3611111,0,14.3000002,2,100
3998,2,2,9.0091944,9.026,0.3308056,0.314,10.3000002,10.3000002,791.1876221,-138.4945831,-1.5439391,1.8846287,1.5441064,0.4591203,0.4591026,0.3405223,1.77E-05,50,-51.6167717,0,-19.422884,-0.5555556,0,10.3000002,2,100
4000,2,2,9.0042496,9.0220003,0.33575,0.318,7.5,7.5,780.1168823,-60.9143181,2.2169135,1.8846287,1.5177062,0.5005761,0.5005583,0.3669225,1.78E-05,50,-42.8658371,0,-20.3301163,-0.3888889,0,7.5,2,100
4002,2,2,9.0008888,9.0190001,0.3391111,0.321,4.5999999,4.5999999,786.6595459,-26.089222,-0.6740252,1.8846287,1.5063044,0.5270335,0.5270157,0.3783244,1.78E-05,50,-43.7122612,0,-20.3716908,-0.4027778,0,4.5999999,2,100
4004,2,2,8.9991665,9.0170002,0.3408333,0.323,1.6,1.6,785.4934082,10.050765,-0.7489896,1.8890147,1.5106903,0.537703,0.5376853,0.3783244,1.78E-05,50,-44.5542145,0,-20.4087982,-0.4166667,0,1.6,2,100
4006,2,2,8.9986668,9.0150003,0.3413333,0.325,0.2,0.2,784.7510376,33.8633575,-0.3983909,1.9037782,1.5254538,0.5379951,0.5379773,0.3783244,1.78E-05,50,-31.7086754,0,-20.440815,-0.1944444,0,0.2,2,100
4008,2,2,8.9985552,9.0150003,0.3414444,0.325,0.2,0.2,784.2824097,33.7509155,-0.2427431,1.9184839,1.5401596,0.538345,0.5383272,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4010,2,2,8.9984446,9.0139999,0.3415556,0.326,0.2,0.2,781.7426758,33.86063,-0.2493355,1.9331896,1.5548652,0.5386948,0.5386771,0.3783244,1.77E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4012,2,2,8.998333,9.0139999,0.3416667,0.326,0.2,0.2,781.967041,33.8508568,-0.4099969,1.9478953,1.5695709,0.5390447,0.5390269,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4014,2,2,8.9982224,9.0129995,0.3417778,0.327,0.2,0.2,783.6047363,33.7800865,-1.6646537,1.9626009,1.5842767,0.5393946,0.5393768,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4016,2,2,8.9981108,9.0129995,0.3418889,0.327,0.2,0.2,786.8017578,33.6428566,-1.4060522,1.9773067,1.5989823,0.5397444,0.5397267,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4018,2,2,8.9980001,9.0129995,0.342,0.327,0.2,0.2,786.8927002,33.6389732,-1.2410091,1.9920124,1.613688,0.5400943,0.5400765,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4020,2,2,8.9978886,9.0129995,0.3421111,0.327,0.2,0.2,787.6992188,33.6045113,-1.7854038,2.0067182,1.6283938,0.5404441,0.5404264,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4022,2,2,8.9977779,9.0120001,0.3422222,0.328,0.2,0.2,787.9853516,33.59235,-2.2053864,2.0214238,1.6430994,0.540794,0.5407763,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4024,2,2,8.9976664,9.0120001,0.3423333,0.328,0.2,0.2,785.661377,33.6916733,-2.8193407,2.0361295,1.6578051,0.5411438,0.5411261,0.3783244,1.77E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4026,2,2,8.9975834,9.0120001,0.3424167,0.328,0.1,0.1,787.9202881,33.5636406,-1.5063317,2.0508215,1.672497,0.5415075,0.5414897,0.3783244,1.78E-05,50,-21.2583847,0,-20.453537,-0.0138889,0,0.1,2,100
4028,2,2,8.9975004,9.0109997,0.3425,0.329,0.2,0.2,788.147583,33.5620079,-1.499119,2.0655169,1.6871926,0.5418676,0.5418499,0.3783244,1.78E-05,20,-19.6495457,0,-20.4543915,0.0138889,0,0.2,2,100
4030,2,2,8.9973888,9.0109997,0.3426111,0.329,0.2,0.2,787.9078369,33.5956154,-0.9139678,2.0802226,1.7018982,0.5422175,0.5421997,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4032,2,2,8.9972782,9.0109997,0.3427222,0.329,0.2,0.2,787.1246338,33.6290398,-0.1705716,2.0949283,1.7166039,0.5425674,0.5425496,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4034,2,2,8.9971666,9.0109997,0.3428333,0.329,0.2,0.2,783.5236816,33.783596,0.1137014,2.1096339,1.7313097,0.5429172,0.5428994,0.3783244,1.78E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4036,2,2,8.9960556,9.0089998,0.3439444,0.331,3.8,3.8,781.4606934,49.8521233,-0.5562262,2.1312771,1.7529527,0.5429172,0.5428994,0.3783244,1.78E-05,20,8.5209627,0,-20.453537,0.5,0,3.8,2,100
4038,2,2,8.9931669,9.0089998,0.3468333,0.331,6.5999999,6.5999999,776.154541,250.9822693,-0.237982,2.2394998,1.8611754,0.5429172,0.5428994,0.3783244,1.78E-05,20,2.1177526,0,-20.4179688,0.3888889,0,6.5999999,2,100
4040,2,2,8.9889441,9.0039997,0.3510556,0.336,8.6000004,8.6000004,780.1166992,29.9727077,-0.8473884,2.2524898,1.8741655,0.5449831,0.5449654,0.3783244,1.77E-05,20,-4.2869101,0,-20.3838539,0.2777778,0,8.6000004,2,100
4042,2,2,8.983861,8.9989996,0.3561389,0.341,9.6999998,9.6999998,782.8081665,15.1268005,-1.6047865,2.2590685,1.8807441,0.5534601,0.5534424,0.3783244,1.78E-05,20,-11.5027113,0,-20.3560295,0.1527778,0,9.6999998,2,100
4044,2,2,8.977972,8.9919996,0.3620278,0.348,11.5,11.5,788.848877,22.6963234,-1.7683583,2.2690151,1.8906908,0.558569,0.5585513,0.3783244,1.77E-05,20,-5.8522496,0,-20.3395004,0.25,0,11.5,2,100
4046,2,2,8.9711666,8.9840002,0.3688333,0.356,13,13,795.609436,14.1204262,-2.071985,2.2752564,1.896932,0.5673832,0.5673655,0.3783244,1.78E-05,20,-8.0275612,0,-20.1002693,0.2083333,0,13,2,100
