time [s],line [1],track/ direction [1],loc. (actual) [km],loc. (target) [km],way (actual) [km],way (target) [km],speed (actual) [km/h],speed (target) [km/h],voltage [V],current [A],track-earth voltage [V],energy input [kWh],energy balance [kWh],usable braking energy [kWh],used braking energy [kWh],recuperated braking energy [kWh],energy braking resistor [kWh],state [1],tractive effort (actual) [kN],tractive effort (target) [kN],line and running resistance [kN],acceleration (actual) [m/(s*s)],acceleration (target) [m/(s*s)],desired speed [km/h],train configuration [1],utilization rate [%]
3978,2,2,9.1085835,9.1219997,0.2314167,0.218,17.2999992,17.2999992,784.0715332,191.0027313,-1.0035392,1.3985119,1.2474848,0.1962746,0.1961937,0.151027,8.09E-05,50,16.78298,0,17.5878277,-0.0138889,0,17.2999992,2,100
3980,2,2,9.0988331,9.1129999,0.2411667,0.227,17.7999992,17.7999992,784.1864624,198.8201294,0.0030314,1.4851297,1.3341026,0.1962746,0.1961937,0.151027,8.09E-05,20,22.3435764,0,18.3193398,0.0694444,0,17.7999992,2,100
3982,2,2,9.0887775,9.1029997,0.2512222,0.237,18.3999996,18.3999996,782.8012085,165.3456421,-0.2611516,1.5570368,1.4060098,0.1962746,0.1961937,0.151027,8.09E-05,20,17.2203102,0,12.3912258,0.0833333,0,18.3999996,2,100
3984,2,2,9.0785275,9.0930004,0.2614722,0.247,18.5,18.5,783.8891602,75.2428818,-0.6489917,1.5898046,1.4387776,0.1962746,0.1961937,0.151027,8.09E-05,20,5.1946807,0,4.3898335,0.0138889,0,18.5,2,100
3986,2,2,9.0680838,9.0830002,0.2719167,0.257,19.1000004,19.1000004,764.9094849,630.2077026,1.9704894,1.8576112,1.7065842,0.1962746,0.1961937,0.151027,8.09E-05,20,0.8807667,0,-3.9483166,0.0833333,0,19.1000004,2,100
3988,2,2,9.0571108,9.0719995,0.2828889,0.268,20.3999996,20.3999996,781.3562622,58.5213165,0.0068409,1.8830146,1.7319875,0.1962746,0.1961937,0.151027,8.09E-05,20,2.8428836,0,-7.6201305,0.1805556,0,20.3999996,2,100
3990,2,2,9.045722,9.0609999,0.2942778,0.279,20.6000004,20.6000004,784.9312744,4.2749453,-1.0340823,1.8848788,1.7338517,0.2094659,0.2093851,0.151027,8.08E-05,20,-5.9559808,0,-7.5656753,0.0277778,0,20.6000004,2,100
3992,2,2,9.0346947,9.0500002,0.3053056,0.29,19.1000004,19.1000004,786.6432495,-67.2027206,-0.5259506,1.8848788,1.7044824,0.2538908,0.2538098,0.1803962,8.09E-05,50,-19.5387001,0,-7.465992,-0.2083333,0,19.1000004,2,100
3994,2,2,9.0246944,9.04,0.3153056,0.3,16.8999996,16.8999996,779.8423462,-108.4540634,-0.8735494,1.8848788,1.6574953,0.3159338,0.3158526,0.2273835,8.11E-05,50,-29.4888611,0,-11.7822218,-0.3055556,0,16.8999996,2,100
3996,2,2,9.0160275,9.0319996,0.3239722,0.308,14.3000002,14.3000002,778.7063599,-120.6610184,-0.0743275,1.8848788,1.6052955,0.3831893,0.3831079,0.2795832,8.14E-05,50,-36.9455719,0,-16.0195427,-0.3611111,0,14.3000002,2,100
3998,2,2,9.0091944,9.026,0.3308056,0.314,10.3000002,10.3000002,789.6550293,-138.763382,-1.2906468,1.8848788,1.5444204,0.4591203,0.4590386,0.3404583,8.17E-05,50,-51.6167717,0,-19.422884,-0.5555556,0,10.3000002,2,100
4000,2,2,9.0042496,9.0220003,0.33575,0.318,7.5,7.5,776.0822754,-61.2309914,2.8501315,1.8848788,1.5180203,0.5005761,0.5004943,0.3668585,8.18E-05,50,-42.8658371,0,-20.3301163,-0.3888889,0,7.5,2,100
4002,2,2,9.0008888,9.0190001,0.3391111,0.321,4.5999999,4.5999999,783.4022217,-26.1976986,-0.2813756,1.8848788,1.5066184,0.5270335,0.5269517,0.3782603,8.18E-05,50,-43.7122612,0,-20.3716908,-0.4027778,0,4.5999999,2,100
4004,2,2,8.9991665,9.0170002,0.3408333,0.323,1.6,1.6,781.4043579,10.1033335,-0.3107648,1.8892647,1.5110043,0.537703,0.5376213,0.3782603,8.18E-05,50,-44.5542145,0,-20.4087982,-0.4166667,0,1.6,2,100
4006,2,2,8.9986668,9.0150003,0.3413333,0.325,0.2,0.2,780.5423584,34.0459633,0.0326414,1.9040282,1.5257679,0.5379951,0.5379133,0.3782603,8.18E-05,50,-31.7086754,0,-20.440815,-0.1944444,0,0.2,2,100
4008,2,2,8.9985552,9.0150003,0.3414444,0.325,0.2,0.2,779.9240112,33.939537,0.1892785,1.918734,1.5404736,0.538345,0.5382632,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4010,2,2,8.9984446,9.0139999,0.3415556,0.326,0.2,0.2,774.2504272,34.1884232,0.7076918,1.9334397,1.5551794,0.5386948,0.5386131,0.3782603,8.17E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4012,2,2,8.998333,9.0139999,0.3416667,0.326,0.2,0.2,775.4505005,34.1354294,0.2994256,1.9481454,1.5698851,0.5390447,0.5389629,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4014,2,2,8.9982224,9.0129995,0.3417778,0.327,0.2,0.2,780.1696167,33.9287796,-0.9914939,1.9628512,1.5845908,0.5393946,0.5393128,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4016,2,2,8.9981108,9.0129995,0.3418889,0.327,0.2,0.2,787.5852661,33.6095886,-1.1113124,1.9775569,1.5992966,0.5397444,0.5396627,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4018,2,2,8.9980001,9.0129995,0.342,0.327,0.2,0.2,788.1156006,33.5870895,-0.9824224,1.9922627,1.6140023,0.5400943,0.5400125,0.3782603,8.17E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4020,2,2,8.9978886,9.0129995,0.3421111,0.327,0.2,0.2,790.9976196,33.4669762,-1.5983269,2.0069695,1.6287092,0.5404441,0.5403624,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4022,2,2,8.9977779,9.0120001,0.3422222,0.328,0.2,0.2,795.1901855,33.2900162,-2.4672625,2.0216761,1.6434158,0.540794,0.5407122,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4024,2,2,8.9976664,9.0120001,0.3423333,0.328,0.2,0.2,786.4902954,33.6564865,-2.2751005,2.036382,1.6581217,0.5411438,0.5410621,0.3782603,8.17E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4026,2,2,8.9975834,9.0120001,0.3424167,0.328,0.1,0.1,788.1697998,33.553009,-1.3121955,2.051074,1.6728135,0.5415075,0.5414258,0.3782603,8.17E-05,50,-21.2583847,0,-20.453537,-0.0138889,0,0.1,2,100
4028,2,2,8.9975004,9.0109997,0.3425,0.329,0.2,0.2,787.2164307,33.6017609,-1.3023322,2.0657694,1.6875091,0.5418676,0.5417858,0.3782603,8.18E-05,20,-19.6495457,0,-20.4543915,0.0138889,0,0.2,2,100
4030,2,2,8.9973888,9.0109997,0.3426111,0.329,0.2,0.2,785.7237549,33.6889992,-0.7978218,2.0804751,1.7022147,0.5422175,0.5421357,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4032,2,2,8.9972782,9.0109997,0.3427222,0.329,0.2,0.2,784.3763428,33.7478142,-0.0872659,2.0951812,1.7169209,0.5425674,0.5424856,0.3782603,8.18E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4034,2,2,8.9971666,9.0109997,0.3428333,0.329,0.2,0.2,776.7446899,34.078537,0.5431618,2.1098869,1.7316266,0.5429172,0.5428355,0.3782603,8.17E-05,30,-20.453537,0,-20.453537,0,0,0.2,2,100
4036,2,2,8.9960556,9.0089998,0.3439444,0.331,3.8,3.8,773.3876343,50.3726807,0.0820909,2.13153,1.7532697,0.5429172,0.5428355,0.3782603,8.17E-05,20,8.5209627,0,-20.453537,0.5,0,3.8,2,100
4038,2,2,8.9931669,9.0089998,0.3468333,0.331,6.5999999,6.5999999,768.0859985,253.6198883,0.424803,2.2397532,1.861493,0.5429172,0.5428355,0.3782603,8.17E-05,20,2.1177526,0,-20.4179688,0.3888889,0,6.5999999,2,100
4040,2,2,8.9889441,9.0039997,0.3510556,0.336,8.6000004,8.6000004,770.1110229,30.361227,-0.0902518,2.252743,1.8744828,0.5449831,0.5449014,0.3782603,8.17E-05,20,-4.2869101,0,-20.3838539,0.2777778,0,8.6000004,2,100
4042,2,2,8.983861,8.9989996,0.3561389,0.341,9.6999998,9.6999998,777.4691772,15.2307053,-1.1032891,2.2593217,1.8810613,0.5534601,0.5533783,0.3782603,8.18E-05,20,-11.5027113,0,-20.3560295,0.1527778,0,9.6999998,2,100
4044,2,2,8.977972,8.9919996,0.3620278,0.348,11.5,11.5,788.9703979,22.6928291,-1.6798633,2.2692683,1.8910079,0.558569,0.5584873,0.3782603,8.17E-05,20,-5.8522496,0,-20.3395004,0.25,0,11.5,2,100
4046,2,2,8.9711666,8.9840002,0.3688333,0.356,13,13,798.638855,14.0680742,-2.3651795,2.2755101,1.8972497,0.5673832,0.5673015,0.3782603,8.18E-05,20,-8.0275612,0,-20.1002693,0.2083333,0,13,2,100
4048,2,2,8.9637775,8.9759998,0.3762222,0.364,13.6000004,13.6000004,852.7459106,-9.1035995,-6.8805251,2.2755101,1.8929369,0.5867614,0.5866699,0.3825732,9.16E-05,20,-14.8273983,0,-19.6564808,0.0833333,0,13.6000004,2,100
4050,2,2,8.956028,8.9680004,0.3839722,0.372,14.3000002,14.3000002,796.7957764,-9.2087803,-2.3624151,2.2755101,1.8888606,0.6058934,0.6058018,0.3866495,9.16E-05,20,-13.9347162,0,-19.5686455,0.0972222,0,14.3000002,2,100
4052,2,2,8.947917,8.96,0.3920833,0.38,14.8999996,14.8999996,812.1224976,-14.0690584,-4.1933613,2.2755101,1.8825129,0.6272966,0.627205,0.3929972,9.16E-05,20,-14.6495981,0,-19.4786816,0.0833333,0,14.8999996,2,100
4054,2,2,8.9396114,8.9510002,0.4003889,0.389,15,15,823.5083008,-29.4981117,-5.3004804,2.2755101,1.8690174,0.6558478,0.6557561,0.4064927,9.17E-05,20,-18.4267902,0,-19.231638,0.0138889,0,15,2,100
4056,2,2,8.9307499,8.9429998,0.40925,0.397,16.8999996,16.8999996,817.3842163,20.602499,-4.7127109,2.2848659,1.878373,0.6615477,0.661456,0.4064927,9.17E-05,20,-3.7250702,0,-19.017168,0.2638889,0,16.8999996,2,100
4058,2,2,8.9212503,8.9329996,0.41875,0.407,17.2999992,17.2999992,898.7329102,-23.7902012,-1.2205324,2.2848659,1.8664947,0.6892714,0.68839,0.4183711,0.0008814,20,-15.329484,0,-18.548872,0.0555556,0,17.2999992,2,100
4060,2,2,8.9121113,8.9239998,0.4278889,0.416,15.6000004,15.6000004,787.6790161,-84.9802322,-0.5761971,2.2848659,1.8293073,0.7415144,0.7406328,0.4555584,0.0008816,50,-27.8629227,0,-14.1805191,-0.2361111,0,15.6000004,2,100
4062,2,2,8.904417,8.9160004,0.4355833,0.424,12.1000004,12.1000004,787.4836426,-107.8535919,-1.1560045,2.2848659,1.7821224,0.8037551,0.8028733,0.5027434,0.0008818,50,-37.9638405,0,-9.7941875,-0.4861111,0,12.1000004,2,100
4064,2,2,8.8978891,8.9099998,0.4421111,0.43,11.3999996,11.3999996,786.3744507,3.2408431,-0.9924639,2.2862816,1.7835382,0.8173948,0.8165131,0.5027434,0.0008817,50,-11.5629473,0,-5.9290166,-0.0972222,0,11.3999996,2,100
